Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
199852,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3ccccc3[nH]2,CHEMBL210658,5.4,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,4.0
199853,O=C(Nc1nc2ccccc2[nH]1)c3cccc(c3)C#N,CHEMBL426133,4.87,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,13.6
199854,[O-][N+](=O)c1cc(ccc1F)C(=O)Nc2nc3ccccc3[nH]2,CHEMBL209118,5.19,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,6.5
199855,Cc1ccc(cc1[N+](=O)[O-])C(=O)Nc2nc3ccccc3[nH]2,CHEMBL209715,4.92,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,12.0
199856,CCCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL209716,5.7,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,2.0
199857,CCCCn1c(NC(=O)c2cccc(Cl)c2)nc3ccccc13,CHEMBL377654,4.52,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,30.0
199858,CCCCn1c(NC(=O)c2ccc(Cl)c(Cl)c2)nc3ccccc13,CHEMBL209075,5.52,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,3.0
199859,CCCCn1c(NC(=O)c2ccc(OC)cc2)nc3ccccc13,CHEMBL380097,5.19,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,6.5
199860,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3cc[nH]cc3n2,CHEMBL380009,4.52,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,30.0
199861,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3cc(Cl)ccc3[nH]2,CHEMBL210682,5.22,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,6.0
199862,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3cc(F)ccc3[nH]2,CHEMBL208116,5.35,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,4.5
199863,Cc1ccc2[nH]c(NC(=O)c3cccc(c3)[N+](=O)[O-])nc2c1,CHEMBL377259,6.1,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.8
199864,COc1ccc2[nH]c(NC(=O)c3cccc(c3)[N+](=O)[O-])nc2c1,CHEMBL206991,5.82,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.5
199865,COC(=O)c1ccc2[nH]c(NC(=O)c3cccc(c3)[N+](=O)[O-])nc2c1,CHEMBL208561,4.6,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,25.0
199866,CCCS(=O)(=O)c1ccc2[nH]c(NC(=O)c3cccc(c3)[N+](=O)[O-])nc2c1,CHEMBL209820,5.4,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,4.0
199867,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3cc(F)c(F)cc3[nH]2,CHEMBL208667,4.52,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,30.0
199868,Cc1cc2nc(NC(=O)c3cccc(c3)[N+](=O)[O-])[nH]c2cc1C,CHEMBL210821,5.1,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,8.0
199869,CCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL210822,5.7,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,2.0
199870,CC(C)n1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL209202,6.0,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.0
199871,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3ccccc3n2CC=C,CHEMBL210774,6.0,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.0
199872,CCCCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL207226,4.7,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,20.0
199873,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3ccccc3n2CCC4CCC4,CHEMBL208166,5.7,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,2.0
199874,COCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL210354,6.0,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.0
199875,CCOCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL210366,5.7,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,2.0
199876,CCOC(=O)Cn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL210194,6.4,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.4
199877,CCOC(=O)CCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL208709,6.0,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.0
199878,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3ccccc3n2C4CCOC4=O,CHEMBL207464,6.26,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.55
199879,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3ccccc3n2CC4CCCO4,CHEMBL210983,6.3,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.5
199880,OCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL379985,6.4,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.4
199881,OCCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL210887,6.82,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.15
199882,OC(=O)CCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL377125,5.4,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,4.0
199883,CN(C)CCCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL377801,5.4,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,4.0
199884,CCN(CC)CCn1c(NC(=O)c2cccc(c2)[N+](=O)[O-])nc3ccccc13,CHEMBL378693,5.52,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,3.0
199885,[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc3ccccc3n2CCN4CCOCC4,CHEMBL379787,6.7,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.2
199886,Clc1ccccc1NC(=O)c2csc(n2)c3cccnc3,CHEMBL258853,5.55,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,2.8
199887,COc1cc(ccc1NC(=O)c2cccc(n2)c3ccn[nH]3)N4CCOCC4,CHEMBL256713,7.7,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.02
199888,COc1cc(ccc1NC(=O)c2cccc(n2)c3cnn(C)c3)N4CCN(C)CC4,CHEMBL256717,6.38,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.42
199889,Cn1cc(cn1)c2cccc(n2)C(=O)Nc3ccccc3Cl,CHEMBL256917,6.15,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.71
199890,Clc1ccccc1NC(=O)c2cccc(n2)c3cn[nH]c3,CHEMBL256719,6.18,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.66
199891,Clc1ccccc1NC(=O)c2cccc(n2)c3ccn[nH]3,CHEMBL257366,5.8,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.6
199892,Clc1ccccc1NC(=O)c2cccc(n2)c3cccnc3,CHEMBL257125,5.47,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,3.4
199893,COc1cc(ccc1NC(=O)c2csc(n2)c3cccnc3)N4CCN(C)CC4,CHEMBL257127,6.46,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.35
199894,COc1cc(ccc1NC(=O)c2csc(n2)c3cccnc3)N4CCOCC4,CHEMBL403662,6.8,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.16
199895,COc1ccc(NC(=O)c2csc(n2)c3cccnc3)c(OC)c1,CHEMBL404514,5.92,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.2
199896,O=C(Nc1ccc(cc1)N2CCOCC2)c3csc(n3)c4cccnc4,CHEMBL414028,5.55,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,2.8
199897,CN1CCN(CC1)c2ccc(NC(=O)c3csc(n3)c4cccnc4)cc2,CHEMBL254546,6.16,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.7
199898,O=C(Nc1ccc(cc1)N2CCCCC2)c3csc(n3)c4cccnc4,CHEMBL407821,5.62,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,2.4
199899,COc1ccc(NC(=O)c2csc(n2)c3cccnc3)cc1,CHEMBL265923,5.43,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,3.7
199900,COc1cccc(NC(=O)c2csc(n2)c3cccnc3)c1,CHEMBL408077,5.05,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,8.9
199901,Cc1cccc(NC(=O)c2csc(n2)c3cccnc3)c1,CHEMBL259375,5.32,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,4.8
199902,FC(F)Oc1ccccc1NC(=O)c2csc(n2)c3cccnc3,CHEMBL408383,6.0,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.0
199903,COc1ccccc1NC(=O)c2csc(n2)c3cccnc3,CHEMBL259797,6.1,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.8
199904,Cc1ccccc1NC(=O)c2csc(n2)c3cccnc3,CHEMBL259213,5.14,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,7.3
199905,O=C(Nc1ccccc1)c2csc(n2)c3cccnc3,CHEMBL260339,5.14,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,7.2
199906,[O-][n+]1cccc(c1)c2nc(cs2)C(=O)Nc3ccccc3Cl,CHEMBL255235,5.16,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,6.9
199907,C1CC(CCN1)Nc2nccc(n2)c3cnc4ccccn34,CHEMBL255098,6.67,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,216.0
199908,N#Cc1ccc2ncc(c3cccc(N[C@@H]4CCCNC4)n3)n2c1,CHEMBL403210,7.02,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,95.0
199909,COc1ccc2ncc(c3cccc(NC4CNC4)n3)n2c1,CHEMBL403433,8.15,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,7.0
199910,Clc1ccc2ncc(c3cccc(NC4CCCNC4)n3)n2c1,CHEMBL256961,8.05,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,9.0
199911,Clc1ccc2ncc(c3cccc(NC4CCNC4)n3)n2c1,CHEMBL401633,9.0,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,1.0
